match_id,date,time,home_team,away_team,arena,home_goals,away_goals,status,round,season
SHL_68276130d745973fbe09bf89,2025-10-16,17:00,Färjestad BK,Luleå Hockey,Löfbergs Arena,,,Scheduled,7,2024-2025
SHL_682705d8d745979957144e23,2025-10-16,17:00,Brynäs IF,Leksands IF,Monitor ERP Arena,,,Scheduled,7,2024-2025
SHL_68276130d745973fbe09bf8a,2025-10-16,17:00,Örebro Hockey,Linköping HC,Behrn Arena,,,Scheduled,7,2024-2025
SHL_682705d8d745979957144e24,2025-10-16,17:00,HV71,Djurgårdens IF,Husqvarna Garden,,,Scheduled,7,2024-2025
SHL_682705d8d745979957144e25,2025-10-16,17:00,Timrå IK,Skellefteå AIK,SCA Arena,,,Scheduled,7,2024-2025
SHL_682705d8d745973fdd6d6ff1,2025-10-16,17:00,Malmö Redhawks,Rögle BK,Malmö Arena,,,Scheduled,7,2024-2025
SHL_682705d8d745973fdd6d6ff2,2025-10-18,13:15,Djurgårdens IF,Brynäs IF,Hovet,,,Scheduled,7,2024-2025
SHL_68276130d745973fbe09bf8b,2025-10-18,13:15,Örebro Hockey,Luleå Hockey,Behrn Arena,,,Scheduled,7,2024-2025
SHL_682705d8d745973fbe09bca9,2025-10-18,13:15,Frölunda HC,Timrå IK,Scandinavium,,,Scheduled,7,2024-2025
SHL_682705d8d745973fbe09bcaa,2025-10-18,13:15,HV71,Rögle BK,Husqvarna Garden,,,Scheduled,7,2024-2025
SHL_682705d8d745979957144e26,2025-10-18,16:00,Leksands IF,Färjestad BK,Tegera Arena,,,Scheduled,7,2024-2025
SHL_68276130d745973fbe09bf8c,2025-10-18,16:00,Linköping HC,Växjö Lakers,Saab Arena,,,Scheduled,7,2024-2025
SHL_682705d8d745973fbe09bcab,2025-10-18,16:00,Skellefteå AIK,Malmö Redhawks,Skellefteå Kraft Arena,,,Scheduled,7,2024-2025
SHL_682705d8d745979957144e28,2025-10-23,17:00,Frölunda HC,HV71,Scandinavium,,,Scheduled,8,2024-2025
SHL_682705d8d745979957144e27,2025-10-23,17:00,Timrå IK,Leksands IF,SCA Arena,,,Scheduled,8,2024-2025
SHL_682705d8d745973fbe09bcac,2025-10-23,17:00,Växjö Lakers,Brynäs IF,Vida Arena,,,Scheduled,8,2024-2025
SHL_68276130d745973fbe09bf8d,2025-10-23,17:00,Luleå Hockey,Linköping HC,Coop Norrbotten Arena,,,Scheduled,8,2024-2025
SHL_682705d8d745973fbe09bcad,2025-10-23,17:00,Rögle BK,Malmö Redhawks,Catena Arena,,,Scheduled,8,2024-2025
SHL_682705d8d745979957144e29,2025-10-23,17:00,Djurgårdens IF,Örebro Hockey,Hovet,,,Scheduled,8,2024-2025
SHL_682705d8d745973fd97dcaee,2025-10-23,17:00,Färjestad BK,Skellefteå AIK,Löfbergs Arena,,,Scheduled,8,2024-2025
SHL_682705d8d745973fbe09bcaf,2025-10-25,16:00,HV71,Rögle BK,Husqvarna Garden,,,Scheduled,8,2024-2025
SHL_682705d8d745979957144e2a,2025-10-25,13:15,Brynäs IF,Färjestad BK,Monitor ERP Arena,,,Scheduled,8,2024-2025
SHL_682705d8d745973fd97dcaef,2025-10-25,13:15,Timrå IK,Örebro Hockey,SCA Arena,,,Scheduled,8,2024-2025
SHL_682705d8d745973fbe09bcae,2025-10-25,13:15,Malmö Redhawks,Växjö Lakers,Malmö Arena,,,Scheduled,8,2024-2025
SHL_68276130d745973fdd6d7afb,2025-10-25,13:15,Linköping HC,Skellefteå AIK,Saab Arena,,,Scheduled,8,2024-2025
SHL_68276130d745973fbe09bf8e,2025-10-25,16:00,Luleå Hockey,Frölunda HC,Coop Norrbotten Arena,,,Scheduled,8,2024-2025
SHL_682705d8d745973fd97dcaf0,2025-10-25,16:00,Leksands IF,Djurgårdens IF,Tegera Arena,,,Scheduled,8,2024-2025
SHL_682705d8d745973fbe09bcb0,2025-10-28,18:00,Färjestad BK,Timrå IK,Löfbergs Arena,,,Scheduled,9,2024-2025
SHL_682705d8d745973fd97dcaf1,2025-10-28,18:00,Örebro Hockey,Brynäs IF,Behrn Arena,,,Scheduled,9,2024-2025
SHL_682705d8d745973fd97dcaf2,2025-10-28,18:00,Rögle BK,Frölunda HC,Catena Arena,,,Scheduled,9,2024-2025
SHL_682705d8d745973fd97dcaf3,2025-10-28,18:00,Leksands IF,Malmö Redhawks,Tegera Arena,,,Scheduled,9,2024-2025
SHL_682705d8d745973fd97dcaf4,2025-10-28,18:00,Växjö Lakers,Djurgårdens IF,Vida Arena,,,Scheduled,9,2024-2025
SHL_68276130d745973fdd6d7afc,2025-10-28,18:00,Skellefteå AIK,Luleå Hockey,Skellefteå Kraft Arena,,,Scheduled,9,2024-2025
SHL_68276130d745973fdd6d7afd,2025-10-28,18:00,Linköping HC,HV71,Saab Arena,,,Scheduled,9,2024-2025
SHL_68276130d745973fdd6d7afe,2025-10-30,18:00,Örebro Hockey,Linköping HC,Behrn Arena,,,Scheduled,9,2024-2025
SHL_68276130d745973fdd6d7aff,2025-10-30,18:00,Rögle BK,Luleå Hockey,Catena Arena,,,Scheduled,9,2024-2025
SHL_682705d8d745973fd97dcaf5,2025-10-30,18:00,Färjestad BK,Leksands IF,Löfbergs Arena,,,Scheduled,9,2024-2025
SHL_682705d8d745973fd97dcaf6,2025-10-30,18:00,Skellefteå AIK,Brynäs IF,Skellefteå Kraft Arena,,,Scheduled,9,2024-2025
SHL_682705d8d745979957144e2b,2025-10-30,18:00,Frölunda HC,Växjö Lakers,Scandinavium,,,Scheduled,9,2024-2025
SHL_682705d8d745979957144e2c,2025-10-30,18:00,Djurgårdens IF,HV71,Hovet,,,Scheduled,9,2024-2025
SHL_682705d8d745973fd97dcaf7,2025-10-30,18:00,Malmö Redhawks,Timrå IK,Malmö Arena,,,Scheduled,9,2024-2025
SHL_682705d8d745973fd97dcaf8,2025-11-01,14:15,Djurgårdens IF,Brynäs IF,Avicii Arena,,,Scheduled,9,2024-2025
SHL_682705d8d745973fd97dcaf9,2025-11-01,14:15,Timrå IK,HV71,SCA Arena,,,Scheduled,9,2024-2025
SHL_682705d8d745973fd97dcafa,2025-11-01,14:15,Leksands IF,Rögle BK,Tegera Arena,,,Scheduled,9,2024-2025
SHL_68276130d745973fdd6d7b00,2025-11-01,17:00,Malmö Redhawks,Luleå Hockey,Malmö Arena,,,Scheduled,9,2024-2025
SHL_682705d8d745979957144e2d,2025-11-01,14:15,Frölunda HC,Färjestad BK,Scandinavium,,,Scheduled,9,2024-2025
SHL_68276130d745973fdd6d7b01,2025-11-01,17:00,Växjö Lakers,Linköping HC,Vida Arena,,,Scheduled,9,2024-2025
SHL_682705d8d745973fdd6d6ff3,2025-11-01,17:00,Örebro Hockey,Skellefteå AIK,Behrn Arena,,,Scheduled,9,2024-2025
SHL_682705d8d745979957144e2e,2025-11-13,18:00,Frölunda HC,Örebro Hockey,Scandinavium,,,Scheduled,11,2024-2025
SHL_68276130d745973fdd6d7b02,2025-11-13,18:00,Linköping HC,Leksands IF,Saab Arena,,,Scheduled,11,2024-2025
SHL_682705d8d745979957144e2f,2025-11-13,18:00,HV71,Växjö Lakers,Husqvarna Garden,,,Scheduled,11,2024-2025
SHL_682705d8d745973fd97dcafb,2025-11-13,18:00,Rögle BK,Färjestad BK,Catena Arena,,,Scheduled,11,2024-2025
SHL_682705d8d745973fd97dcafc,2025-11-13,18:00,Skellefteå AIK,Timrå IK,Skellefteå Kraft Arena,,,Scheduled,11,2024-2025
SHL_68276130d745973fdd6d7b03,2025-11-13,18:00,Luleå Hockey,Djurgårdens IF,Coop Norrbotten Arena,,,Scheduled,11,2024-2025
SHL_682705d8d745973fd97dcafd,2025-11-13,18:00,Brynäs IF,Malmö Redhawks,Monitor ERP Arena,,,Scheduled,11,2024-2025
SHL_682705d8d745973fd97dcafe,2025-11-15,14:15,Skellefteå AIK,Djurgårdens IF,Skellefteå Kraft Arena,,,Scheduled,11,2024-2025
SHL_682705d8d745973fdd6d6ff4,2025-11-15,14:15,Örebro Hockey,Malmö Redhawks,Behrn Arena,,,Scheduled,11,2024-2025
SHL_682705d8d745973fbe09bcb1,2025-11-15,14:15,HV71,Leksands IF,Husqvarna Garden,,,Scheduled,11,2024-2025
